name,type,scope,parameters,call,summary
ListInfraSegmentMonitoringBindings,Policy,Infra,{infrasegmentid},/policy/api/v1/infra/segments/{infrasegmentid}/segment-monitoring-profile-binding-maps,List Infra Segment Monitoring Profile Binding Maps
GlobalInfraReadTraceflowConfig,Policy,Global,{traceflowid},/policy/api/v1/global-infra/traceflows/{traceflowid},Read traceflow config
GetFlowDetails,Policy,Infra,,/policy/api/v1/observability/flow-details,Get monitoring info
GetAggregatedConfigurationToBePublishedForDraft,Policy,Infra,{draftid},/policy/api/v1/infra/drafts/{draftid}/aggregated,Get an aggregated configuration for the draft
ReadALBHTTPPolicySet,Policy,Infra,{albhttppolicysetid},/policy/api/v1/infra/alb-http-policy-sets/{albhttppolicysetid},Read ALBHTTPPolicySet
GetInfraSegmentTepTableInCsv,Policy,Infra,{segmentid},/policy/api/v1/infra/segments/{segmentid}/tep-table?format=csv,Get tier-1 segment TEP table in CSV
ReadEnforcementPointForInfra,Policy,Infra,"{deploymentzoneid}, {enforcementpointid}",/policy/api/v1/infra/deployment-zones/{deploymentzoneid}/enforcement-points/{enforcementpointid},Read an Enforcement Point
ListL2BridgeProfiles,Policy,Infra,"{siteid}, {enforcementpointid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/edge-bridge-profiles,List L2 Bridge Endpoint Profiles
GlobalInfraReadPolicyDnsForwarderOnTier0,Policy,Global,{tier0id},/policy/api/v1/global-infra/tier-0s/{tier0id}/dns-forwarder,Read the DNS Forwarder for the given tier-0 instance
ReadShaDynamicPlugin,Policy,Infra,{pluginid},/policy/api/v1/infra/sha/dynamic-plugins/{pluginid},Read Sha dynamic plugin
GetTier1IPSecVpnPeerConfig,Policy,Infra,"{tier1id}, {localeserviceid}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/ipsec-vpn-services/{serviceid}/sessions/{sessionid}/peer-config,Get IPSec VPN configuration for the peer site
ListL7AccessEntries,Policy,Infra,{l7accessprofileid},/policy/api/v1/infra/l7-access-profiles/{l7accessprofileid}/entries,List l7 access profile entries
GetPolicyFirewallFloodProtectionBinding,Policy,Infra,"{domainid}, {groupid}, {firewallfloodprotectionprofilebindingmapid}",/policy/api/v1/infra/domains/{domainid}/groups/{groupid}/firewall-flood-protection-profile-binding-maps/{firewallfloodprotectionprofilebindingmapid},Get Firewall Flood Protection Profile Binding Map
GlobalInfraReadDhcpRelayConfig,Policy,Global,{dhcprelayconfigid},/policy/api/v1/global-infra/dhcp-relay-configs/{dhcprelayconfigid},Read DHCP relay configuration
ViewTier1GatewayFirewall,Policy,Infra,{tier1id},/policy/api/v1/infra/tier-1s/{tier1id}/gateway-firewall,"Get list of gateway policies with rules that belong to the specific Tier-1.
"
ReadSecurityRule,Policy,Infra,"{domainid}, {securitypolicyid}, {ruleid}",/policy/api/v1/infra/domains/{domainid}/security-policies/{securitypolicyid}/rules/{ruleid},Read rule
GetUserVidmSearchResult,Policy,Infra,,/policy/api/v1/aaa/vidm/users,"Get all the users from vIDM whose userName, givenName or familyName matches the search key case insensitively. The search key is checked to be a substring of name or given name or family name. This is a non paginated API. This API will return as many results that vIDM returns to NSX during the search query. vIDM may not send all results at once so to zero in on the user of interest more characters need to be entered."
ReadSite,Policy,Infra,{siteid},/policy/api/v1/infra/sites/{siteid},Read a site
GlobalInfraGetPolicyNatRuleFromTier0,Policy,Global,"{tier0id}, {natid}, {natruleid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/nat/{natid}/nat-rules/{natruleid},Get NAT Rule
GetTier1VpnIpsecVpnSessionSummary,Policy,Infra,"{tier1id}, {serviceid}",/policy/api/v1/infra/tier-1s/{tier1id}/ipsec-vpn-services/{serviceid}/summary,Get IPSec VPN Session Summary
GetTier1VpnL2VPNSessionPeerConfig,Policy,Infra,"{tier1id}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-1s/{tier1id}/l2vpn-services/{serviceid}/sessions/{sessionid}/peer-config,Get Tier-1 L2VPN session configuration for the peer site
ListSessionTimerProfileBindings,Policy,Infra,{sessiontimerprofileid},/policy/api/v1/infra/session-timer-profiles/{sessiontimerprofileid}/bindings,List Session Timer Profiles
GlobalInfraReadSecurityGlobalConfig,Policy,Global,,/policy/api/v1/global-infra/security-global-config,Read security global configuration
GetLBVirtualServerStatus,Policy,Infra,"{lbserviceid}, {lbvirtualserverid}",/policy/api/v1/infra/lb-services/{lbserviceid}/lb-virtual-servers/{lbvirtualserverid}/detailed-status,Get LBVirtualServer status information
GetOspfNeighbors,Policy,Infra,"{tier0id}, {localeserviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/ospf/neighbors,Get OSPF neighbor information
GlobalInfraGetInfraPortDiscoveryBinding,Policy,Global,"{infrasegmentid}, {infraportid}, {portdiscoveryprofilebindingmapid}",/policy/api/v1/global-infra/segments/{infrasegmentid}/ports/{infraportid}/port-discovery-profile-binding-maps/{portdiscoveryprofilebindingmapid},Get Infra Port Discovery Profile Binding Map
ListL7AccessProfileProfileSupportedAttributes,Policy,Infra,,/policy/api/v1/infra/l7-access-profiles/attributes,List Policy L7 access profile supported attributes and sub-attributes
ListALBStringGroup,Policy,Infra,,/policy/api/v1/infra/alb-string-groups,List ALBStringGroup for infra
GlobalInfraGetInfraSegmentPort,Policy,Global,"{segmentid}, {portid}",/policy/api/v1/global-infra/segments/{segmentid}/ports/{portid},Get infra segment port by ID
GlobalInfraReadServiceForTenant,Policy,Global,{serviceid},/policy/api/v1/global-infra/services/{serviceid},Read a service
ReadGroupForDomain,Policy,Infra,"{domainid}, {groupid}",/policy/api/v1/infra/domains/{domainid}/groups/{groupid},Read group
ReadDnsSecurityProfile,Policy,Infra,{profileid},/policy/api/v1/infra/dns-security-profiles/{profileid},Read the DNS Forwarder for the given tier-0 instance
ListQoSProfiles,Policy,Infra,,/policy/api/v1/infra/qos-profiles,List QoS Profiles
GetPlatformDeploymentChecksStatus,Policy,Infra,{siteid},/policy/api/v1/infra/sites/{siteid}/napp/deployment/platform/checks/status,Get NSX Application Platform pre/post checks progress status
ReadServicePath,Policy,Infra,{servicechainid},/policy/api/v1/infra/service-chains/{servicechainid}/service-paths,Read service paths for a given service chain
GlobalInfraGetDownlinkPortArpTableForTier1Segment,Policy,Global,"{tier1id}, {segmentid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/segments/{segmentid}/gateway-interface-arp-table,Get ARP table for downlink router port on tier-1 router
GetRestoreConfig,Policy,Infra,,/policy/api/v1/cluster/restore/config,Deprecated. Get Restore configuration
ReadALBDnsPolicy,Policy,Infra,{albdnspolicyid},/policy/api/v1/infra/alb-dns-policies/{albdnspolicyid},Read ALBDnsPolicy
ListManagerIpPools,Policy,Infra,,/policy/api/v1/infra/manager-ip-pools,List Manager Ip Pools
ReadL2Vpn,Policy,Infra,"{tier0id}, {localeserviceid}, {l2vpnid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/l2vpn-context/l2vpns/{l2vpnid},Read an L2Vpn
GlobalInfraGetTier1GatewayArpProxies,Policy,Global,{tier1id},/policy/api/v1/global-infra/tier-1s/{tier1id}/arp-proxies,Get Tier-1 Address Resolution Protocol Proxies
GlobalInfraGetPortMonitoringBinding,Policy,Global,"{tier1id}, {segmentid}, {portid}, {portmonitoringprofilebindingmapid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/segments/{segmentid}/ports/{portid}/port-monitoring-profile-binding-maps/{portmonitoringprofilebindingmapid},Get Port Monitoring Profile Binding Map
GetFqdnAnalysisConfig,Policy,Infra,"{siteid}, {enforcementpointid}, {edgeclusterid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/edge-clusters/{edgeclusterid}/fqdn-analysis-config,Get FqdnAnalysisConfig
GlobalInfraGetDnsSecurityProfileBinding,Policy,Global,"{domainid}, {groupid}, {dnssecurityprofilebindingmapid}",/policy/api/v1/global-infra/domains/{domainid}/groups/{groupid}/dns-security-profile-binding-maps/{dnssecurityprofilebindingmapid},Get DNS security profile binding map
ReadALBSecurityPolicy,Policy,Infra,{albsecuritypolicyid},/policy/api/v1/infra/alb-security-policies/{albsecuritypolicyid},Read ALBSecurityPolicy
ListDomainDeploymentMapsForInfra,Policy,Infra,{domainid},/policy/api/v1/infra/domains/{domainid}/domain-deployment-maps,List Domain Deployment maps for infra
GetTier1PolicyMulticastForwarding,Policy,Infra,"{tier1id}, {localeserviceid}",/policy/api/v1/infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/multicast/forwarding,Get Multicast Forwarding
ListDrafts,Policy,Infra,,/policy/api/v1/infra/drafts,List policy drafts
GlobalInfraListDhcpServerConfig,Policy,Global,,/policy/api/v1/global-infra/dhcp-server-configs,List DHCP server config instances
GlobalInfraReadInfraGlobalManager,Policy,Global,{globalmanagerid},/policy/api/v1/global-infra/global-managers/{globalmanagerid},Read a Global Manager
GetTagBulkOperation,Policy,Infra,{operationid},/policy/api/v1/infra/tags/tag-operations/{operationid},Get details of tag bulk operation request
GlobalInfraReadSecurityPolicyForDomain,Policy,Global,"{domainid}, {securitypolicyid}",/policy/api/v1/global-infra/domains/{domainid}/security-policies/{securitypolicyid},Read security policy
GetUpgradeCoordinatorDeploymentProgressStatus,Policy,Infra,{siteid},/policy/api/v1/infra/sites/{siteid}/napp/deployment/upgrade-coordinator/status,Get deployment or undeployment progress status
GetSegmentPortStatus,Policy,Infra,"{tier1id}, {segmentid}, {portid}",/policy/api/v1/infra/tier-1s/{tier1id}/segments/{segmentid}/ports/{portid}/status,Get segment port status information
GetMacDiscoveryProfiles,Policy,Infra,,/policy/api/v1/infra/mac-discovery-profiles,List Mac Discovery Profiles
GlobalInfraReadBgpRoutingConfig,Policy,Global,"{tier0id}, {localeserviceid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/bgp,Read BGP routing config
GlobalInfraListInfraSegmentPortSecurityProfileBindings,Policy,Global,"{segmentid}, {portid}",/policy/api/v1/global-infra/segments/{segmentid}/ports/{portid}/port-security-profile-binding-maps,List infra segment port security profile binding maps
GetPartialPatchConfiguration,Policy,Infra,,/policy/api/v1/system-config/nsx-partial-patch-config,Fetch the policy partial patch configuration value.
ListIdsRules,Policy,Infra,"{domainid}, {policyid}",/policy/api/v1/infra/domains/{domainid}/intrusion-service-policies/{policyid}/rules,List IDS rules
GlobalInfraGetTier0BgpNeighborAdvertisedRoutesInCsvFormat,Policy,Global,"{tier0id}, {localeserviceid}, {neighborid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/bgp/neighbors/{neighborid}/advertised-routes?format=csv,Get BGP neighbor advertised routes in CSV format
ListIPSecVpnTunnelProfiles,Policy,Infra,,/policy/api/v1/infra/ipsec-vpn-tunnel-profiles,List IPSec tunnel profiles
GlobalInfraListIPFIXL2Profiles,Policy,Global,,/policy/api/v1/global-infra/ipfix-l2-profiles,List IPFIX L2 Profiles
GlobalInfraReadShaPluginProfile,Policy,Global,{shaprofileid},/policy/api/v1/global-infra/sha/plugin-profiles/{shaprofileid},API will return Sha profile
ReadInfra,Policy,Infra,,/policy/api/v1/infra,Read infra
GetTier0LocaleServicesFloodProtectionProfileBinding,Policy,Infra,"{tier0id}, {localeserviceid}, {floodprotectionprofilebindingid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/flood-protection-profile-bindings/{floodprotectionprofilebindingid},Get Flood Protection Profile Binding Map for Tier-0 Logical Router LocaleServices
GetIDFWStatusForAComputeCollection,Policy,Infra,{computecollectionid},/policy/api/v1/infra/settings/firewall/idfw/compute-collections/{computecollectionid}/status,Get IDFW status for a Compute Collection
ReadSecurityFeature,Policy,Infra,{tier1id},/policy/api/v1/infra/tier-1s/{tier1id}/security-config,Read Security Feature
GetIDFWSystemStatisticsData,Policy,Infra,,/policy/api/v1/infra/settings/firewall/idfw/system-stats,Get IDFW system statistics data
ReadALBNetworkSecurityPolicy,Policy,Infra,{albnetworksecuritypolicyid},/policy/api/v1/infra/alb-network-security-policies/{albnetworksecuritypolicyid},Read ALBNetworkSecurityPolicy
Tier1SegmentBridgeEndpointStatistics,Policy,Infra,"{tier1id}, {segmentid}",/policy/api/v1/infra/tier-1s/{tier1id}/segments/{segmentid}/bep-statistics,Get Tier-1 segment bridge end point statistics using segment ID and profile path.
ReadCommunicationMapForDomain,Policy,Infra,"{domainid}, {communicationmapid}",/policy/api/v1/infra/domains/{domainid}/communication-maps/{communicationmapid},Read communication-map
ListLBMonitorProfiles,Policy,Infra,,/policy/api/v1/infra/lb-monitor-profiles,List LBMonitorProfiles for infra
ReadContainerClusterSpanForSecurityPolicy,Policy,Infra,"{domainid}, {securitypolicyid}, {antreacluster1}",/policy/api/v1/infra/domains/{domainid}/security-policies/{securitypolicyid}/container-cluster-span/{antreacluster1},Read container cluster for a security policy
ListTier1VirtualEndpoints,Policy,Infra,"{tier1id}, {localeserviceid}",/policy/api/v1/infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/endpoints/virtual-endpoints,List all virtual endpoints
GetTier0VpnIPSecVpnLocalEndpoint,Policy,Infra,"{tier0id}, {serviceid}, {localendpointid}",/policy/api/v1/infra/tier-0s/{tier0id}/ipsec-vpn-services/{serviceid}/local-endpoints/{localendpointid},Get IPSec VPN local endpoint
ListTier1VpnIPSecVpnSessions,Policy,Infra,"{tier1id}, {serviceid}",/policy/api/v1/infra/tier-1s/{tier1id}/ipsec-vpn-services/{serviceid}/sessions,Get IPSec VPN sessions list result
GlobalInfraGetTier1SegmentsByState,Policy,Global,{tier1id},/policy/api/v1/global-infra/tier-1s/{tier1id}/segments/state,Get tier-1 segments by configuration state
GlobalInfraReadMetadataProxyStatus,Policy,Global,{metadataproxyid},/policy/api/v1/global-infra/metadata-proxies/{metadataproxyid}/status,Get metadata proxy status
GetMacDiscoveryProfile,Policy,Infra,{macdiscoveryprofileid},/policy/api/v1/infra/mac-discovery-profiles/{macdiscoveryprofileid},Get Mac Discovery Profile
ListALBPriorityLabels,Policy,Infra,,/policy/api/v1/infra/alb-priority-labels,List ALBPriorityLabels for infra
GetTier1LocaleServicesFloodProtectionProfileBinding,Policy,Infra,"{tier1id}, {localeserviceid}, {floodprotectionprofilebindingid}",/policy/api/v1/infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/flood-protection-profile-bindings/{floodprotectionprofilebindingid},Get Flood Protection Profile Binding Map for Tier-1 Logical Router LocaleServices
GlobalInfraViewTier0LocaleServicesGatewayFirewall,Policy,Global,"{tier0id}, {localeserviceid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/gateway-firewall,"Get list of gateway policies with rules that belong
to the specific Tier-0 LocalServices.
"
ListHostTransportNodeCollections,Policy,Infra,"{siteid}, {enforcementpointid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/transport-node-collections,List Transport Node collections
GlobalInfraGetPolicyFirewallFloodProtectionBinding,Policy,Global,"{domainid}, {groupid}, {firewallfloodprotectionprofilebindingmapid}",/policy/api/v1/global-infra/domains/{domainid}/groups/{groupid}/firewall-flood-protection-profile-binding-maps/{firewallfloodprotectionprofilebindingmapid},Get Firewall Flood Protection Profile Binding Map
ListTier1VpnL2VPNSessions,Policy,Infra,"{tier1id}, {serviceid}",/policy/api/v1/infra/tier-1s/{tier1id}/l2vpn-services/{serviceid}/sessions,Get L2VPN sessions list result under Tier-1
GlobalInfraReadGroupForDomain,Policy,Global,"{domainid}, {groupid}",/policy/api/v1/global-infra/domains/{domainid}/groups/{groupid},Read group
GetFirewallIdentityStoreSyncStats,Policy,Infra,{firewallidentitystoreid},/policy/api/v1/infra/firewall-identity-stores/{firewallidentitystoreid}/sync-stats,Get Firewall identity store sync statistics for the given identifier
GetPortMonitoringBinding,Policy,Infra,"{tier1id}, {segmentid}, {portid}, {portmonitoringprofilebindingmapid}",/policy/api/v1/infra/tier-1s/{tier1id}/segments/{segmentid}/ports/{portid}/port-monitoring-profile-binding-maps/{portmonitoringprofilebindingmapid},Get Port Monitoring Profile Binding Map
GetTlsStateFqdn,Policy,Infra,"{tier1id}, {fqdnid}",/policy/api/v1/infra/tier-1s/{tier1id}/tls-inspection-state/fqdns/{fqdnid},Get TLS inspection FQDN state
GlobalInfraReadBgpNeighborConfig,Policy,Global,"{tier0id}, {localeserviceid}, {neighborid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/bgp/neighbors/{neighborid},Read BGP neighbor config
ListCommunicationMapsForDomain,Policy,Infra,{domainid},/policy/api/v1/infra/domains/{domainid}/communication-maps,List communication maps
ReadPolicyServiceProfile,Policy,Infra,"{servicereferenceid}, {serviceprofileid}",/policy/api/v1/infra/service-references/{servicereferenceid}/service-profiles/{serviceprofileid},Read service profile
GlobalInfraReadGatewayRule,Policy,Global,"{domainid}, {gatewaypolicyid}, {ruleid}",/policy/api/v1/global-infra/domains/{domainid}/gateway-policies/{gatewaypolicyid}/rules/{ruleid},Read rule
GlobalInfraGetTier0RouterLinkStatistics,Policy,Global,{tier0id},/policy/api/v1/global-infra/tier-0s/{tier0id}/tier-1-interface/statistics,Get tier-0 router link statistics information
ListServiceEntries,Policy,Infra,{serviceid},/policy/api/v1/infra/services/{serviceid}/service-entries,List Service entries for the given service
GetTNReport,Policy,Infra,"{siteid}, {enforcementpointid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/transport-node-status-report,Creates a status report of transport nodes of all the transport zones
GetL2VPNService,Policy,Infra,"{tier0id}, {localeserviceid}, {serviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/l2vpn-services/{serviceid},Get L2VPN service under Tier-0
ReadTlsPolicy,Policy,Infra,{policyid},/policy/api/v1/infra/tls-inspection-policies/{policyid},Read tls policy
ListAntreaStatus,Policy,Infra,"{siteid}, {enforcementpointid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/cluster-control-planes-status,Read Antrea cluster status list
ListTlsProfiles,Policy,Infra,,/policy/api/v1/infra/tls-inspection-action-profiles,Get Tls profiles available.
ListAntreaTraceflowObservations,Policy,Infra,{traceflowid},/policy/api/v1/infra/antrea/traceflows/{traceflowid}/observations,Read Antrea traceflow observations
ListPolicyNatRulesFromTier0,Policy,Infra,"{tier0id}, {natid}",/policy/api/v1/infra/tier-0s/{tier0id}/nat/{natid}/nat-rules,List NAT Rules
ListFirewallSectionRealizedStates,Policy,Infra,{enforcementpointid},/policy/api/v1/infra/realized-state/enforcement-points/{enforcementpointid}/firewalls/firewall-sections,List Firewall Sections
ListFirewallIdentityStores,Policy,Infra,,/policy/api/v1/infra/firewall-identity-stores,List all firewall identity stores
GetTier0VpnL2VPNSessionPeerConfig,Policy,Infra,"{tier0id}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-0s/{tier0id}/l2vpn-services/{serviceid}/sessions/{sessionid}/peer-config,Get Tier-0 L2VPN session configuration for the peer site
ListTier0DeploymentMaps,Policy,Infra,"{tier0id}, {localeserviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/tier-0-deployment-maps,List Tier-0 Deployment maps
ListALBNetworkProfile,Policy,Infra,,/policy/api/v1/infra/alb-network-profiles,List ALBNetworkProfile for infra
GetBackupOverview,Policy,Infra,,/policy/api/v1/cluster/backups/overview,Get all backup related information for a site
ReadALBTrafficCloneProfile,Policy,Infra,{albtrafficcloneprofileid},/policy/api/v1/infra/alb-traffic-clone-profiles/{albtrafficcloneprofileid},Read ALBTrafficCloneProfile
GetAllTZStatus,Policy,Infra,"{siteid}, {enforcementpointid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/transport-zones-aggstatus,"Get high-level summary of all transport zone status. The service layer does not support source = realtime or cached.
"
ReadSegmentDhcpStaticBindingState,Policy,Infra,"{tier1id}, {segmentid}, {bindingid}",/policy/api/v1/infra/tier-1s/{tier1id}/segments/{segmentid}/dhcp-static-bindings/{bindingid}/state,Read DHCP static binding state
GetTagBulkOperationStatus,Policy,Infra,{operationid},/policy/api/v1/infra/tags/tag-operations/{operationid}/status,Get status of tag bulk operation
ReadByodPolicyServiceInstance,Policy,Infra,"{tier0id}, {localeserviceid}, {serviceinstanceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/byod-service-instances/{serviceinstanceid},Read BYOD service instance
ListIPFIXL2CollectorProfiles,Policy,Infra,,/policy/api/v1/infra/ipfix-l2-collector-profiles,List IPFIX Collector profiles.
ReadPolicyIgmpProfile,Policy,Infra,{igmpprofileid},/policy/api/v1/infra/igmp-profiles/{igmpprofileid},Read Igmp Profile
ReadTier1PolicyServiceInstance,Policy,Infra,"{tier1id}, {localeserviceid}, {serviceinstanceid}",/policy/api/v1/infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/service-instances/{serviceinstanceid},Read Tier1 service instance
GetIdsClusterConfig,Policy,Infra,{clusterconfigid},/policy/api/v1/infra/settings/firewall/security/intrusion-services/cluster-configs/{clusterconfigid},Read IDS cluster config.
GlobalInfraReadGlobalManagerConfigWithSensitiveData,Policy,Global,,/policy/api/v1/global-infra/global-manager-config?action=show-sensitive-data,Read Global Manager config along with sensitive data
ReadLBPersistenceProfile,Policy,Infra,{lbpersistenceprofileid},/policy/api/v1/infra/lb-persistence-profiles/{lbpersistenceprofileid},Read LBPersistenceProfile
ListFirewallIdentityStoreLdapServers,Policy,Infra,{firewallidentitystoreid},/policy/api/v1/infra/firewall-identity-stores/{firewallidentitystoreid}/ldap-servers,List all configured domain LDAP servers
GlobalInfraGetPolicyContextProfile,Policy,Global,{contextprofileid},/policy/api/v1/global-infra/context-profiles/{contextprofileid},Get PolicyContextProfile
GlobalInfraTier1SegmentBridgeEndpointStatistics,Policy,Global,"{tier1id}, {segmentid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/segments/{segmentid}/bep-statistics,Get Tier-1 segment bridge end point statistics using segment ID and profile path.
LookupAddressViaTier1DNSForwarder,Policy,Infra,{tier1id},/policy/api/v1/infra/tier-1s/{tier1id}/dns-forwarder/nslookup,Resolve a given address via the dns forwarder at Tier1
ReadSecurityGroupRealizedState,Policy,Infra,"{enforcementpointid}, {securitygroupid}",/policy/api/v1/infra/realized-state/enforcement-points/{enforcementpointid}/groups/securitygroups/{securitygroupid},Read Group
GetInfraPortMonitoringBindingMirrorStackStatus,Policy,Infra,"{infrasegmentid}, {infraportid}, {portmonitoringprofilebindingmapid}",/policy/api/v1/infra/segments/{infrasegmentid}/ports/{infraportid}/port-monitoring-profile-binding-maps/{portmonitoringprofilebindingmapid}/mirror-stack-status,Get mirror stack status for Infra Port Monitoring Profile Binding Map
ListPolicyUrlCategories,Policy,Infra,,/policy/api/v1/infra/url-categories,Get the list of URL categories.
GlobalInfraListGroupDiscoveryProfileBindings,Policy,Global,"{domainid}, {groupid}",/policy/api/v1/global-infra/domains/{domainid}/groups/{groupid}/discovery-profile-binding-maps,Get Group discovery profile binding map
ListServicesForTenant,Policy,Infra,,/policy/api/v1/infra/services,List Services for infra
ReadTier0Group,Policy,Infra,"{tier0id}, {groupid}",/policy/api/v1/infra/tier-0s/{tier0id}/groups/{groupid},Read Tier-0 Group
ListSites,Policy,Infra,,/policy/api/v1/infra/sites,List Sites
GetTier0ForwardingTable,Policy,Infra,{tier0id},/policy/api/v1/infra/tier-0s/{tier0id}/forwarding-table,Get forwarding table from tier-0
GetPolicyNatRule,Policy,Infra,"{tier1id}, {natid}, {natruleid}",/policy/api/v1/infra/tier-1s/{tier1id}/nat/{natid}/nat-rules/{natruleid},Get NAT Rule
ReadALBL4PolicySet,Policy,Infra,{albl4policysetid},/policy/api/v1/infra/alb-l4-policy-sets/{albl4policysetid},Read ALBL4PolicySet
GetTier1IpsecVpnSessionSummary,Policy,Infra,"{tier1id}, {localeserviceid}, {serviceid}",/policy/api/v1/infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/ipsec-vpn-services/{serviceid}/summary,Get IPSec VPN Session Summary
GlobalInfraLookupAddressViaTier0DNSForwarder,Policy,Global,{tier0id},/policy/api/v1/global-infra/tier-0s/{tier0id}/dns-forwarder/nslookup,Resolve a given address via the dns forwarder at Tier0
ViewTier0GatewayFirewall,Policy,Infra,{tier0id},/policy/api/v1/infra/tier-0s/{tier0id}/gateway-firewall,"Get list of gateway policies with rules that belong
to the specific Tier-0 logical router.
"
ListTier1StaticRoutes,Policy,Infra,{tier1id},/policy/api/v1/infra/tier-1s/{tier1id}/static-routes,List Tier-1 Static Routes
ListEnforcementPointRealizedStates,Policy,Infra,,/policy/api/v1/infra/realized-state/enforcement-points,List Enforcement Points
GetTier0DNSForwarderStatus,Policy,Infra,{tier0id},/policy/api/v1/infra/tier-0s/{tier0id}/dns-forwarder/status,Get current status of tier-0 DNS forwarder
LookupAddressViaTier0DNSForwarder,Policy,Infra,{tier0id},/policy/api/v1/infra/tier-0s/{tier0id}/dns-forwarder/nslookup,Resolve a given address via the dns forwarder at Tier0
GetCaBundle,Policy,Infra,{cabundleid},/policy/api/v1/infra/cabundles/{cabundleid},Returns information about a CA bundle
GlobalInfraGetPortSecurityProfileBinding,Policy,Global,"{tier1id}, {segmentid}, {portid}, {portsecurityprofilebindingmapid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/segments/{segmentid}/ports/{portid}/port-security-profile-binding-maps/{portsecurityprofilebindingmapid},Get port security profile binding map
ReadIpAddressPoolAllocation,Policy,Infra,"{ippoolid}, {ipallocationid}",/policy/api/v1/infra/ip-pools/{ippoolid}/ip-allocations/{ipallocationid},Read policy IpPool allocation
GetImportTask,Policy,Infra,,/policy/api/v1/infra/settings/firewall/import,Get the information of import task
ReadRealizedEntity,Policy,Infra,,/policy/api/v1/infra/realized-state/realized-entity,Get realized entity uniquely identified by realized path
GetPolicyMulticastRoutesInCsvFormat,Policy,Infra,"{tier0id}, {localeserviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/multicast/routes?format=csv,Get Multicast Routes in Csv Format
GlobalInfraReadPrefixList,Policy,Global,"{tier0id}, {prefixlistid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/prefix-lists/{prefixlistid},Read a prefix list
ReadBgpNeighborConfig,Policy,Infra,"{tier0id}, {localeserviceid}, {neighborid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/bgp/neighbors/{neighborid},Read BGP neighbor config
GetTier0SessionTimerProfileBinding,Policy,Infra,"{tier0id}, {sessiontimerprofilebindingid}",/policy/api/v1/infra/tier-0s/{tier0id}/session-timer-profile-bindings/{sessiontimerprofilebindingid},Get Session Timer Profile Binding Map for Tier-0 Logical Router
GlobalInfraListPortSecurityProfileBindings,Policy,Global,"{tier1id}, {segmentid}, {portid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/segments/{segmentid}/ports/{portid}/port-security-profile-binding-maps,List port security profile binding maps
ReadMetadataProxyConfig,Policy,Infra,{metadataproxyid},/policy/api/v1/infra/metadata-proxies/{metadataproxyid},Get Metadata Proxy Config
ListTier0Group,Policy,Infra,{tier0id},/policy/api/v1/infra/tier-0s/{tier0id}/groups,List Groups for Tier-0
ReadL7AccessEntry,Policy,Infra,"{l7accessprofileid}, {l7accessentryid}",/policy/api/v1/infra/l7-access-profiles/{l7accessprofileid}/entries/{l7accessentryid},Read L7 Access Profile entry
ListBfdProfile,Policy,Infra,,/policy/api/v1/infra/bfd-profiles,List BfdProfiles
